"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00158282","한국신에츠실리콘","","E","감사보고서 (2019.12)","20200330004791","삼일회계법인","20200330",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2018.12)","20190327000249","삼일회계법인","20190327",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2017.12)","20180326000837","삼일회계법인","20180326",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2016.12)","20170323000544","삼일회계법인","20170323",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2015.12)","20160330000127","삼일회계법인","20160330",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2014.12)","20150401002407","삼일회계법인","20150401",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2013.12)","20140326000054","삼일회계법인","20140326",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2012.12)","20130325000719","삼일회계법인","20130325",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2011.12)","20120327000024","삼일회계법인","20120327",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2010.12)","20110328000407","삼일회계법인","20110328",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2009.12)","20100401000994","삼일회계법인","20100401",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2008.12)","20090403000049","삼일회계법인","20090403",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2007.12)","20080407002354","삼일회계법인","20080407",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2006.12)","20070406000101","삼일회계법인","20070406",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2005.12)","20060330000795","삼일회계법인","20060330",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2004.12)","20050404000137","삼일회계법인","20050404",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2003.12)","20040403000122","삼일회계법인","20040403",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2002.12)","20030409000364","삼일회계법인","20030409",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2001.12)","20020401000217","삼일회계법인","20020401",""
"00158282","한국신에츠실리콘","","E","감사보고서 (2000.12)","20010326000072","삼일회계법인","20010326",""
"00158282","한국신에츠실리콘","","E","감사보고서 (1999.12)","20000408000031","제원회계법인","20000408",""
