"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00491053","진바이오텍","086060","K","사업보고서 (2019.12)","20200327001271","진바이오텍","20200327","연"
"00491053","진바이오텍","086060","K","사업보고서 (2018.12)","20190329000129","진바이오텍","20190329","연"
"00491053","진바이오텍","086060","K","사업보고서 (2017.12)","20180329000538","진바이오텍","20180329","연"
"00491053","진바이오텍","086060","K","사업보고서 (2016.12)","20170329000211","진바이오텍","20170329","연"
"00491053","진바이오텍","086060","K","사업보고서 (2015.12)","20160329000055","진바이오텍","20160329","연"
"00491053","진바이오텍","086060","K","사업보고서 (2014.12)","20150330000026","진바이오텍","20150330","연"
"00491053","진바이오텍","086060","K","[기재정정]사업보고서 (2013.12)","20140514000210","진바이오텍","20140514","연"
"00491053","진바이오텍","086060","K","사업보고서 (2013.12)","20140328000012","진바이오텍","20140328","정연"
"00491053","진바이오텍","086060","K","사업보고서 (2012.12)","20130329000612","진바이오텍","20130329","연"
"00491053","진바이오텍","086060","K","사업보고서 (2011.12)","20120330000406","진바이오텍","20120330","연"
"00491053","진바이오텍","086060","K","[첨부추가]사업보고서 (2010.12)","20110330000020","진바이오텍","20110330","연"
"00491053","진바이오텍","086060","K","[첨부추가]사업보고서 (2009.12)","20100329000518","진바이오텍","20100329","연"
"00491053","진바이오텍","086060","K","사업보고서 (2008.12)","20090330000033","진바이오텍","20090330",""
"00491053","진바이오텍","086060","K","사업보고서 (2007.12)","20080318000154","진바이오텍","20080318",""
"00491053","진바이오텍","086060","K","사업보고서 (2006.12)","20070328000025","진바이오텍","20070328",""
