"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00134413","세일산업","","E","연결감사보고서 (2003.12)","20040430000197","안건회계법인","20040430",""
"00134413","세일산업","","E","감사보고서 (2003.12)","20040409000220","안건회계법인","20040409",""
"00134413","세일산업","","E","연결감사보고서 (2002.12)","20030430000529","안건회계법인","20030430",""
"00134413","세일산업","","E","감사보고서 (2002.12)","20030408000600","안건회계법인","20030408",""
"00134413","세일산업","","E","연결감사보고서 (2001.12)","20020430000445","안건회계법인","20020430",""
"00134413","세일산업","","E","감사보고서 (2001.12)","20020410000961","안건회계법인","20020410",""
"00134413","세일산업","","E","연결감사보고서 (2000.12)","20010430000151","안건회계법인","20010430",""
"00134413","세일산업","","E","감사보고서 (2000.12)","20010411000471","안건회계법인","20010411",""
"00134413","세일산업","","E","연결감사보고서 (1999.12)","20000429000287","안건회계법인","20000502",""
"00134413","세일산업","","E","감사보고서 (1999.12)","20000322000097","안건회계법인","20000322",""
