"corp_code","corp_name","stock_code","corp_cls","report_nm","rcept_no","flr_nm","rcept_dt","rm"
"00100115","MBC아카데미","","E","감사보고서 (2019.12)","20200406003124","삼정회계법인","20200406",""
"00100115","MBC아카데미","","E","감사보고서 (2018.12)","20190326000719","삼정회계법인","20190326",""
"00100115","MBC아카데미","","E","감사보고서 (2017.12)","20180319000155","삼정회계법인","20180319",""
"00100115","MBC아카데미","","E","감사보고서 (2016.12)","20170309000584","삼정회계법인","20170309",""
"00100115","MBC아카데미","","E","감사보고서 (2015.12)","20160315000066","삼정회계법인","20160315",""
"00100115","MBC아카데미","","E","감사보고서 (2014.12)","20150311000340","삼정회계법인","20150311",""
"00100115","MBC아카데미","","E","감사보고서 (2013.12)","20140321000296","삼정회계법인","20140321",""
"00100115","MBC아카데미","","E","감사보고서 (2012.12)","20130409000036","안진회계법인","20130409",""
"00100115","MBC아카데미","","E","감사보고서 (2011.12)","20120403001197","안진회계법인","20120403",""
"00100115","MBC아카데미","","E","감사보고서 (2010.12)","20110310000095","안진회계법인","20110310",""
"00100115","MBC아카데미","","E","감사보고서 (2009.12)","20100316000184","안진회계법인","20100316",""
"00100115","MBC아카데미","","E","감사보고서 (2008.12)","20090306000423","안진회계법인","20090306",""
"00100115","MBC아카데미","","E","감사보고서 (2007.12)","20080317000104","안진회계법인","20080317",""
"00100115","MBC아카데미","","E","감사보고서 (2006.12)","20070307000933","한영회계법인","20070307",""
"00100115","MBC아카데미","","E","감사보고서 (2005.12)","20060310000139","한영회계법인","20060310",""
"00100115","MBC아카데미","","E","감사보고서 (2004.12)","20050309000177","한영회계법인","20050309",""
"00100115","MBC아카데미","","E","감사보고서 (2003.12)","20040315000122","삼일회계법인","20040315",""
"00100115","MBC아카데미","","E","감사보고서 (2002.12)","20030324000350","삼일회계법인","20030324",""
"00100115","MBC아카데미","","E","감사보고서 (2001.12)","20020314000340","삼일회계법인","20020314",""
"00100115","MBC아카데미","","E","감사보고서 (2000.12)","20010320000037","삼일회계법인","20010320",""
"00100115","MBC아카데미","","E","감사보고서 (1999.12)","20000316000034","삼일회계법인","20000316",""
